,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-01,76.00723599999999,54.47547932036091,74.1995155683186,76.00723599999999,76.00723599999999,-10.938576026576618,-10.938576026576618,-10.938576026576618,-10.938576026576618,-10.938576026576618,-10.938576026576618,0.0,0.0,0.0,65.06865997342338
1,2000-02-01,75.65053606623036,52.52076008636702,71.99639618482914,75.65053606623036,75.65053606623036,-13.261260075864696,-13.261260075864696,-13.261260075864696,-13.261260075864696,-13.261260075864696,-13.261260075864696,0.0,0.0,0.0,62.38927599036566
2,2000-03-01,75.31684903141361,57.08834684404606,78.01150456390899,75.31684903141361,75.31684903141361,-8.053023836828348,-8.053023836828348,-8.053023836828348,-8.053023836828348,-8.053023836828348,-8.053023836828348,0.0,0.0,0.0,67.26382519458527
3,2000-04-01,74.96014909764398,60.06606646948543,80.35125453794085,74.96014909764398,74.96014909764398,-5.10611046581245,-5.10611046581245,-5.10611046581245,-5.10611046581245,-5.10611046581245,-5.10611046581245,0.0,0.0,0.0,69.85403863183153
4,2000-05-01,74.61495561335079,71.42133063628071,91.01631428932923,74.61495561335079,74.61495561335079,6.864980598355889,6.864980598355889,6.864980598355889,6.864980598355889,6.864980598355889,6.864980598355889,0.0,0.0,0.0,81.47993621170667
5,2000-06-01,74.25825567958115,67.86167165976079,87.85393669399303,74.25825567958115,74.25825567958115,3.290350700472227,3.290350700472227,3.290350700472227,3.290350700472227,3.290350700472227,3.290350700472227,0.0,0.0,0.0,77.54860638005339
6,2000-07-01,73.91306219528795,78.24806412046323,97.5027982915446,73.91306219528795,73.91306219528795,13.645271211520544,13.645271211520544,13.645271211520544,13.645271211520544,13.645271211520544,13.645271211520544,0.0,0.0,0.0,87.55833340680849
7,2000-08-01,73.55636226151832,67.03430844314148,86.30969462997962,73.55636226151832,73.55636226151832,3.5853693312267687,3.5853693312267687,3.5853693312267687,3.5853693312267687,3.5853693312267687,3.5853693312267687,0.0,0.0,0.0,77.14173159274509
8,2000-09-01,73.19966232774868,78.18752865005911,98.74693610293477,73.19966232774868,73.19966232774868,14.882147897000635,14.882147897000635,14.882147897000635,14.882147897000635,14.882147897000635,14.882147897000635,0.0,0.0,0.0,88.08181022474932
9,2000-10-01,72.85446884224301,66.443173707879,86.31209798543242,72.85446884224301,72.85446884224301,3.4008785432028743,3.4008785432028743,3.4008785432028743,3.4008785432028743,3.4008785432028743,3.4008785432028743,0.0,0.0,0.0,76.25534738544589
10,2000-11-01,72.49776890722048,57.605869562445385,77.07418825046555,72.49776890722048,72.49776890722048,-5.132217037788775,-5.132217037788775,-5.132217037788775,-5.132217037788775,-5.132217037788775,-5.132217037788775,0.0,0.0,0.0,67.3655518694317
11,2000-12-01,72.1525754217148,59.25769315379703,78.77920990485802,72.1525754217148,72.1525754217148,-3.467711667038264,-3.467711667038264,-3.467711667038264,-3.467711667038264,-3.467711667038264,-3.467711667038264,0.0,0.0,0.0,68.68486375467654
12,2001-01-01,71.79587548669225,50.61087388204035,70.08374416580753,71.79587548669225,71.79587548669225,-11.11661362354984,-11.11661362354984,-11.11661362354984,-11.11661362354984,-11.11661362354984,-11.11661362354984,0.0,0.0,0.0,60.679261863142415
13,2001-02-01,71.43917555166972,50.298781160208286,69.73737115289987,71.43917555166972,71.43917555166972,-11.473430073834962,-11.473430073834962,-11.473430073834962,-11.473430073834962,-11.473430073834962,-11.473430073834962,0.0,0.0,0.0,59.96574547783476
14,2001-03-01,71.11699496519776,53.340935789988585,73.23091574061138,71.11699496519776,71.11699496519776,-8.076917909047285,-8.076917909047285,-8.076917909047285,-8.076917909047285,-8.076917909047285,-8.076917909047285,0.0,0.0,0.0,63.04007705615048
15,2001-04-01,70.76029503017521,56.49467232856855,75.9336984849521,70.76029503017521,70.76029503017521,-4.412259582520502,-4.412259582520502,-4.412259582520502,-4.412259582520502,-4.412259582520502,-4.412259582520502,0.0,0.0,0.0,66.34803544765471
16,2001-05-01,70.41510154466955,66.36649277288933,85.79809145344153,70.41510154466955,70.41510154466955,6.201212046948267,6.201212046948267,6.201212046948267,6.201212046948267,6.201212046948267,6.201212046948267,0.0,0.0,0.0,76.61631359161782
17,2001-06-01,70.05840162456421,63.720911140805356,83.97950120565827,70.05840162456421,70.05840162456421,3.709011040915413,3.709011040915413,3.709011040915413,3.709011040915413,3.709011040915413,3.709011040915413,0.0,0.0,0.0,73.76741266547963
18,2001-07-01,69.71320815349455,73.79633702540853,92.25547041548833,69.71320815349455,69.71320815349455,13.547557478360426,13.547557478360426,13.547557478360426,13.547557478360426,13.547557478360426,13.547557478360426,0.0,0.0,0.0,83.26076563185498
19,2001-08-01,69.35650823338922,63.441464951941505,82.35913573663672,69.35650823338922,69.35650823338922,3.4065170405303693,3.4065170405303693,3.4065170405303693,3.4065170405303693,3.4065170405303693,3.4065170405303693,0.0,0.0,0.0,72.7630252739196
20,2001-09-01,68.99980831328389,73.38188818837668,93.42231348919131,68.99980831328389,68.99980831328389,14.578517773613171,14.578517773613171,14.578517773613171,14.578517773613171,14.578517773613171,14.578517773613171,0.0,0.0,0.0,83.57832608689706
21,2001-10-01,68.65461484221423,62.52968470371709,82.80653801755957,68.65461484221423,68.65461484221423,3.6402024380626212,3.6402024380626212,3.6402024380626212,3.6402024380626212,3.6402024380626212,3.6402024380626212,0.0,0.0,0.0,72.29481728027685
